HotelCode|PropertyAmenities
104419|Gift shops or newsstand,Number of floors - ,Health club,Nightclub,Spa services on site,Limo or Town Car service available,Spa treatment room(s),Designated smoking areas,Outdoor tennis courts -
104420|Bar/lounge,Spa tub,Children's pool,Airport transportation - pickup (surcharge)
104421|ATM/banking,Shopping on site,Children's pool,Free newspapers in lobby,Porter/bellhop,Full-service spa,Free self parking,Children's club (free)
104423|Business center,Spa treatment room(s),Steam room,Designated smoking areas,Number of outdoor pools - ,Beach sun loungers,Children's club (surcharge)
104424|Outdoor pool,Shopping on site,Coffee shop or café
104425|Coffee/tea in common areas,Spa services on site,Beach towels
104427|Hair salon,Number of buildings/towers - ,Arcade/game room,24-hour front desk,Waterslide
105631|Supervised childcare/activities,Total number of rooms - ,Breakfast available (surcharge),Picnic area,24-hour business center,Luggage storage
105649|Health club,Dry cleaning/laundry service,Free area shuttle,Beach sun loungers,Children's club (surcharge)
105650|Free breakfast,Dry cleaning/laundry service,Steam room,Wedding services
106925|Shopping on site,24-hour front desk,WiFi (surcharge)
107572|Conference space,Library,Free newspapers in lobby,On private beach,Number of spa tubs - ,Shopping center shuttle (surcharge),Free valet parking,Free water park access
107839|Safe-deposit box at front desk,Luggage storage
109712|Breakfast available (surcharge),Coffee shop or café,Direct access to private beach
110010|Hair salon,Dry cleaning/laundry service,Number of restaurants -
111075|Total number of rooms - ,24-hour front desk
111532|Elevator/lift,Hair salon,Barbecue grill(s),Golf course on site
111666|Number of buildings/towers - ,24-hour front desk,Dry cleaning/laundry service,Conference space size (meters) - ,Waterslide
111678|Airport transportation (surcharge),Business center,Express check-out,Wedding services,Pool umbrellas,Free valet parking,Rooftop terrace
111682|Babysitting or childcare,Television in common areas,Health club,Designated smoking areas,Beach umbrellas
111836|Babysitting or childcare,Number of floors - ,Multilingual staff,Conference space size (meters) - ,Luggage storage
112089|Spa services on site,Snack bar/deli,Number of bars/lounges - ,Supervised childcare/activities (surcharge)
112400|Coffee/tea in common areas,Laundry facilities,Marina on site,Express check-in,Designated smoking areas,Tours/ticket assistance,Luggage storage,Beach umbrellas,24-hour health club
112401|Gift shops or newsstand,Airport transportation (surcharge),Poolside bar,Multilingual staff,Spa treatment room(s),Billiards or pool table,Free wired high-speed Internet,Number of outdoor pools -
112403|24-hour front desk,Dry cleaning/laundry service,Steam room,Free wired high-speed Internet
112564|Outdoor pool,Breakfast available (surcharge),24-hour front desk
