HotelCode|RoomAmenities
104419|Premium bedding,Connecting/adjoining rooms available
104420|ORBWLS,ELEV,CNFFAC,ORBSPA,POOLOT,TENNIS,DISABL,BEAUTY,BABY,SPA,INTHS,ROOM,HEALTH,BUSCTR,GIFT,CURREX,POOL,LANDRY,BAR,REST,FPRKNG,ROOM24,MTGFAC,DOCTOR,SAFDEP,CONLEV,NSMK
104421|CNTBRK,HAC47,ELEV,CNFFAC,CNFSTE,DESK24,AIRCON,ATM,POOLOT,SECU24,MINBAR,SPA,INTHS,ROOM,EXLEVL,HEALTH,MADSVC,GIFT,SITTNG,HAC116,SAFE,POOL,REST,FPRKNG,BAR,MTGFAC,JOGTRK,NTECLB,SECURE
104423|FLORST,BUSCTR,CURREX,TOUR,COFMKR,POOL,SHOP,CRIB,LDRYMT,EXCKIN,REST,BAR,GYM,CAR,TENNIS,SAFDEP,PRKNG,SECU24,AVEQUP,BEAUTY,SPA,INTHS,MULTI,HAIR
104424|FLORST,TV,PHSPKR,TEL,DESK24,AIRCON,ADPTRS,WAKEUP,POOLOT,STMBTH,TVRMOT,BIDET,MINBAR,BEAUTY,BATH,SPA,BARBER,EXCKOT,PRKVAL,ROOM,HEALTH,BUSCTR,MADSVC,GIFT,CURREX,LOUNGE,CRIB,JACUZ,LANDRY,REST,GYM,SOFABD,MTGFAC,CAR,KIDACT,SAFDEP,VALET,CONLEV,TMPCTL,WETBAR,KITFUL,HAC47,ELEV,EXCKIN,ATM,WTRSKI,TVCAB,NWSPPR,TENNIS,MICRWV,PRKNG,BABY,SAUNA,COFFEE,INTHS,CONDSK,DRGSTR,HAIR,EXLEVL,SAFE,COFMKR,POOL,IRONBD,BAR,FPRKNG,ROOM24,TRNDWN,IRON,HORSE,NSMK,BTHTEL
104425|TOUR,PHY42,HAC47,ELEV,CNFFAC,RMA207,ORBSPA,POOLOT,TENNIS,PHY50,SPA,PHY28,HEALTH,BUSCTR,GIFT,CURREX,HAC116,POOL,ORBSHT,LANDRY,REST,FPRKNG,HAC222,ROOM24,MTGFAC,DOCTOR,SAFDEP,NSMK,CONLEV
105631|BUSCTR,HAC116,ORBWLS,HAC47,POOL,CNFFAC,RMA207,REST,FPRKNG,ORBSPA,HAC222,MTGFAC,DISABL,INTHS,CONLEV,ROOM,HEALTH
105649|Room service (24 hours)
105650|SMKDET,DVD,SAFE,COFMKR,POOL,LDRYMT,AIRCON,REST,BAR,WAKEUP,GYM,NWSPPR,CRDTEL,IRON,PRKNG,AVEQUP,ALRMCK,MINBAR,SPA,INTHS,NSMK,MULTI
106925|Balcony,Rollaway/extra beds available,WiFi (surcharge)
107572|ORBWLS,HAC47,ELEV,DESK24,ATM,SPRINK,WAKEUP,SECU24,PRKIND,AVEQUP,BABY,SPA,BARBER,INTHS,CONDSK,ROOM,PRKVAL,HEALTH,ELECDR,BUSCTR,FAX,CURREX,SITTNG,SAFE,POOL,LDRYMT,LANDRY,JACUZ,BAR,FPRKNG,REST,BELL,TRNDWN,CAR,SECURE
109712|TOUR,ORBWLS,ELEV,CNFFAC,RMA207,ORBSPA,POOLOT,TENNIS,BEAUTY,BABY,SPA,INTHS,ROOM,HEALTH,BUSCTR,GIFT,CURREX,POOL,ORBSHT,LANDRY,BAR,REST,FPRKNG,HAC222,SAFDEP,NTECLB,CONLEV,NSMK
110010|ELEV,PRKRV,FPRKNG,ROOM24,BELL,GYM,POOLOT,PRKNG,BEAUTY,BABY,SAUNA,SPA,INTHS
111075|BUSCTR,CURREX,TOUR,ORBWLS,ELEV,LANDRY,RMA207,REST,FPRKNG,HAC222,ROOM24,POOLOT,SAFDEP,SPA,INTHS,NSMK,CONLEV,ROOM
111532|BUSCTR,POOL,ORBSHT,DISABL,CNFFAC,INTHS,REST,CONLEV,ORBSPA,ROOM,HEALTH
111666|The large attractive rooms are well equipped and decorated in classic style. Colour schemes vary but most rooms have a green or blue theme. The marble bathrooms are a very good standard. All the bedrooms have either a pool or land view.
111678|Room offering floor-to-ceiling windows with partial city and Creek views. Relax in a comfy armchair, get to work at the large desk with ergonomic chair or keep in touch with WiFi access (charges apply). Unwind watching movie channels on the 32-inch TV or revive in the marble bathroom with shower. Our larger and most popular 44 sq. m./473 sq. ft Deluxe Creek view rooms enjoy sensational 270 degree views over the busy Creek from their corner position of the hotel.
111682|The medium sized rooms are with private balcony, sweeping glass doors that offer spectacular see views.
111836|TV,OVRPRJ,PHSPKR,DVD,TOUR,SHOP,HAC47,ADPTRS,WHTBRD,POOLOT,NWSPPR,TENNIS,GOLF,PRKNG,MINBAR,BEAUTY,BATH,INTHS,CONDSK,ROOM,EXLEVL,HAIR,BUSCTR,FAX,MADSVC,TPRESS,GIFT,COFMKR,LOUNGE,DSKLMP,BAR,FPRKNG,REST,TVSAT,BELL,CAR,SAFDEP,ENTMNT,AIRLIN,TMPCTL
112089|Coffee/tea maker,Premium bedding,Iron/ironing board (on request),Slippers,Deep soaking bathtub
112400|CELTEL,TV,PHSPKR,DVD,TOUR,SHOP,HAC47,MOVIES,ADPTRS,ATM,POOLOT,NWSPPR,TENNIS,GOLF,BIDET,PRKNG,MINBAR,BEAUTY,BATH,INTHS,CONDSK,ROOM,PRKVAL,EXLEVL,HAIR,BUSCTR,MADSVC,FAX,GIFT,CURREX,COFMKR,LOUNGE,IRONBD,CRIB,DSKLMP,BAR,TVSAT,REST,FPRKNG,BELL,TRNDWN,CAR,KIDACT,SAFDEP,ENTMNT,AIRLIN,TMPCTL
112401|CNTBRK,TV,FAP,DESK24,AIRCON,SPRINK,POOLOT,BIDET,MINBAR,AVEQUP,DISABL,SPA,BARBER,EXCKOT,BUSCTR,ELECDR,MADSVC,GIFT,CURREX,HAC116,DSKLMP,LANDRY,JACUZ,REST,MTGFAC,CAR,DOCTOR,KIDACT,SAFDEP,SECURE,TMPCTL,MAP,IDD,HAC47,ELEV,CNFSTE,CNFFAC,ATM,NWSPPR,TENNIS,SECU24,COFFEE,SAUNA,INTHS,CONDSK,HAIR,COFMKR,POOL,LDRYMT,PLYGRD,BAR,IRON,NSMK,AP
112403|POOLOT,TENNIS,BEAUTY,CNFFAC,REST
112564|BUSCTR,DOCTOR,PHY50,ORBWLS,HAC116,ELEV,INTHS,BAR,PETS
112570|TOUR,ORBWLS,HAC156,ELEV,CNFFAC,ORBSPA,POOLOT,TENNIS,GOLF,BEAUTY,BABY,DISABL,SPA,INTHS,ROOM,HEALTH,BUSCTR,GIFT,CURREX,POOL,ORBSHT,LANDRY,REST,FPRKNG,BAR,GAME,ROOM24,HAC138,MTGFAC,SAFDEP,NSMK,CONLEV
112622|TOUR,ORBWLS,ELEV,CNFFAC,POOLOT,DISABL,BABY,BEAUTY,SPA,INTHS,ROOM,HEALTH,CURREX,POOL,ORBSHT,LANDRY,BAR,FPRKNG,REST,ROOM24,MTGFAC,DOCTOR,SAFDEP,NSMK,CONLEV
112637|FLORST,CNTBRK,TV,PHSPKR,TEL,DESK24,AIRCON,ADPTRS,WAKEUP,POOLOT,STMBTH,SHOWER,TVRMOT,BIDET,MINBAR,ALRMCK,BATH,SPA,BARBER,EXCKOT,PRKVAL,ROOM,HEALTH,BUSCTR,RADIO,MADSVC,CURREX,ICEMCH,LOUNGE,CRIB,JACUZ,LANDRY,REST,GYM,MTGFAC,CAR,SAFDEP,VALET,CONLEV,TMPCTL,DVD,HAC47,ELEV,EXCKIN,WTRSKI,ATM,TVCAB,NWSPPR,TENNIS,PRKNG,SAUNA,COFFEE,INTHS,CONDSK,DRGSTR,HAIR,EXLEVL,FAX,SAFE,POOL,LDRYMT,IRONBD,BAR,SCUBA,FPRKNG,ROOM24,TRNDWN,HORSE,IRON,NSMK,BTHTEL
113459|BUSCTR,CURREX,SAFE,POOL,SHOP,CRIB,LDRYMT,EXCKIN,REST,BAR,GYM,CAR,STMBTH,PRKNG,AVEQUP,MINBAR,BEAUTY,INTHS,MULTI,HAIR
113465|FLORST,TOUR,SHOP,ELEV,EXCKIN,TENNIS,PRKNG,MINBAR,AVEQUP,BABY,BEAUTY,SPA,INTHS,SMKDET,BUSCTR,CURREX,COFMKR,SAFE,POOL,LDRYMT,BAR,REST,GYM,CAR,SAFDEP,MULTI
113470|TOUR,SHOP,EXCKIN,ATM,TVCAB,TENNIS,STMBTH,PRKNG,SECU24,MINBAR,AVEQUP,BEAUTY,BABY,INTHS,HAIR,BUSCTR,CURREX,COFMKR,SAFE,POOL,LDRYMT,RMPACC,BAR,REST,GYM,CAR,SAFDEP,WCHR,JOGTRK,MULTI
113782|Coffee/tea maker,Shower/tub combination
114088|Phone,Cribs/infant beds available
114111|BUSCTR,CURREX,TOUR,ORBWLS,ORBSHT,ELEV,CNFFAC,LANDRY,RMA207,REST,FPRKNG,BAR,HAC222,ROOM24,POOLOT,MTGFAC,DOCTOR,SAFDEP,BABY,SPA,NTECLB,NSMK,CONLEV,PHY28
114681|The hotel has 106 rooms with fully out-fitted kitchenettes should you wish to avail yourself of a home-cooked meal. The medium sized rooms are also equipped with modern amenities and the furnishings is clean and modern. All rooms have private bath and shower, individual air conditioning, direct dial telephone and satellite TV channels and the toilets are also well maintained.
116640|BUSCTR,TOUR,SAFE,POOL,SHOP,CRIB,LDRYMT,AIRCON,REST,BAR,GYM,CAR,KIDACT,STMBTH,PRKNG,AVEQUP,MINBAR,BEAUTY,SPA,INTHS,ENTMNT,MULTI,HAIR
